condition,vignette,sentence,speaker,attncheck,choice1,choice2,choice_correct
must,attractive,"<i> Annie and Betty are gossiping. Annie doesn't know anything about Betty's neighbor. Betty says, blushing, ""You've GOT to see this picture of my new neighbor!""  <p> Without looking at the picture, Annie replies: </i> <b> He must be attractive! </b>",Annie,Who are Annie and Betty talking about in the passage?,A neighbor,A family member,choice1
bare,attractive,"<i> Annie and Betty are gossiping. Annie doesn't know anything about Betty's neighbor. Betty says, blushing, ""You've GOT to see this picture of my new neighbor!""  <p> Without looking at the picture, Annie replies: </i> <b> He's attractive! </b>",Annie,Who are Annie and Betty talking about in the passage?,A neighbor,A family member,choice1
control,attractive,"<i> Annie and Betty are gossiping. Annie doesn't know anything about Betty's neighbor. Betty says, blushing, ""You've GOT to see this picture of my new neighbor!""  <p> Without looking at the picture, Annie replies: </i> <b> Betty, you're blushing! </b>",Annie,Who are Annie and Betty talking about in the passage?,A neighbor,A family member,choice1
must,football,"<i> Joe and Kelly are at a football game. Joe looks down at his phone for a second and hears the crowd erupt in cheering. Kelly says to Joe: ""I can't believe you missed that play!"" <p> Still looking at his phone, Joe replies: </i> <b> It must have been a really impressive play!  </b>",Joe,Where are Joe and Kelly?,The airport,A football game,choice2
bare,football,"<i> Joe and Kelly are at a football game. Joe looks down at his phone for a second and hears the crowd erupt in cheering. Kelly says to Joe: ""I can't believe you missed that play!"" <p> Still looking at his phone, Joe replies: </i> <b> It was a really impressive play! </b>",Joe,Where are Joe and Kelly?,The airport,A football game,choice2
control,football,"<i> Joe and Kelly are at a football game. Joe looks down at his phone for a second and hears the crowd erupt in cheering. Kelly says to Joe: ""I can't believe you missed that play!"" <p> Joe replies: </i> <b> I was looking at my phone! </b>",Joe,Where are Joe and Kelly?,The airport,A football game,choice2
must,exam,"<i> Brian meets Jill shortly after she finishes her final calculus exam. Brian didn't take the exam but can see that Jill is visibly distressed. <p> Brian says: </i> <b> It must have been a difficult exam! </b>
",Brian,What did Jill just do?,Write an exam,Run a marathon,choice1
bare,exam,"<i> Brian meets Jill shortly after she finishes her final calculus exam. Brian didn't take the exam but can see that Jill is visibly distressed. <p> Brian says: </i> <b> It was a difficult exam! </b>
 ",Brian,What did Jill just do?,Write an exam,Run a marathon,choice1
control,exam,"<i> Brian meets Jill shortly after she finishes her final calculus exam. Brian didn't take the exam but can see that Jill is visibly distressed. <p> Brian says: </i> <b> Jill, you look distressed! </b>
",Brian,What did Jill just do?,Write an exam,Run a marathon,choice1
must,vacation," <i> David and Lisa are coworkers, and David has just returned from a weeklong vacation (Lisa had to work last week). At work today, Lisa notices that the usual bags under David's eyes are gone, and he is smiling more than usual. <p> Lisa says: </i> <b> It must have been quite relaxing to be on vacation last week! </b>",Lisa,Where was David last week?,In the hospital,On vacation,choice2
bare,vacation," <i> David and Lisa are coworkers, and David has just returned from a weeklong vacation (Lisa had to work last week). At work today, Lisa notices that the usual bags under David's eyes are gone, and he is smiling more than usual. <p> Lisa says: </i> <b> It was quite relaxing to be on vacation last week! </b>",Lisa,Where was David last week?,In the hospital,On vacation,choice2
control,vacation," <i> David and Lisa are coworkers, and David has just returned from a weeklong vacation (Lisa had to work last week). At work today, Lisa notices that the usual bags under David's eyes are gone, and he is smiling more than usual. <p> Lisa says: </i> <b> David, you're smiling more than usual! </b>",Lisa,Where was David last week?,In the hospital,On vacation,choice2
must,restaurant," <i> Jane and Phil are at a fancy new restaurant for lunch. Jane ordered pizza, while David ordered a salad. Jane takes the first bite into her pizza and says: ""Mmm!"" <p> Phil says: </i> <b> That pizza must be tasty! </b>",Phil,Where are Jane and Phil?,A restaurant,The police station,choice1
bare,restaurant," <i> Jane and Phil are at a fancy new restaurant for lunch. Jane ordered pizza, while David ordered a salad. Jane takes the first bite into her pizza and says: ""Mmm!"" <p> Phil says: </i> <b> That pizza is tasty! </b>",Phil,Where are Jane and Phil?,A restaurant,The police station,choice1
control,restaurant," <i> Jane and Phil are at a fancy new restaurant for lunch. Jane ordered pizza, while David ordered a salad. Jane takes the first bite into her pizza and says: ""Mmm!"" <p> Phil says: </i> <b> This restaurant is fancy! </b>",Phil,Where are Jane and Phil?,A restaurant,The police station,choice1